Domain,Details,Entity,Live?,Redirect?,HTTPS?,Force HTTPS?,HSTS?,HSTS Header
charlottenc.gov,City,Non-Federal Agency,true,charmeck.org,false,false,false,
charlottesvilleva.gov,City,Non-Federal Agency,true,,false,false,false,
chatham-ma.gov,City,Non-Federal Agency,true,,false,false,false,
chatham-va.gov,City,Non-Federal Agency,true,,false,false,false,
chathamtownship-nj.gov,City,Non-Federal Agency,true,,false,false,false,
chatsworthga.gov,City,Non-Federal Agency,true,,false,false,false,
chattanooga.gov,City,Non-Federal Agency,true,,false,false,false,
chelseama.gov,City,Non-Federal Agency,true,,false,false,false,
chesapeakecity-md.gov,City,Non-Federal Agency,true,,false,false,false,
cheshire-ma.gov,City,Non-Federal Agency,true,cheshire-ma.com,false,false,false,
chester-ny.gov,City,Non-Federal Agency,true,,false,false,false,
chestnuthilltwp-pa.gov,City,Non-Federal Agency,true,,false,false,false,
cheverly-md.gov,City,Non-Federal Agency,true,,false,false,false,
chevychasevillagemd.gov,City,Non-Federal Agency,true,,false,false,false,
chicoca.gov,City,Non-Federal Agency,true,ci.chico.ca.us,false,false,false,
chicopeema.gov,City,Non-Federal Agency,false,,false,false,false,
chilmarkma.gov,City,Non-Federal Agency,true,,false,false,false,
chinagrovenc.gov,City,Non-Federal Agency,true,,false,false,false,
chincoteague-va.gov,City,Non-Federal Agency,true,,false,false,false,
chippewafalls-wi.gov,City,Non-Federal Agency,true,,false,false,false,
chowancounty-nc.gov,City,Non-Federal Agency,true,,false,false,false,
churchhilltn.gov,City,Non-Federal Agency,true,,false,false,false,
cibolotx.gov,City,Non-Federal Agency,true,,false,false,false,
cincinnati-oh.gov,City,Non-Federal Agency,true,,true,false,false,
cincinnatiohio.gov,City,Non-Federal Agency,false,,false,false,false,
citykankakee-il.gov,City,Non-Federal Agency,true,,false,false,false,
cityofadams-wi.gov,City,Non-Federal Agency,true,,false,false,false,
cityofaikensc.gov,City,Non-Federal Agency,true,,true,false,false,
cityofalamedaca.gov,City,Non-Federal Agency,true,alamedaca.gov,false,false,false,
cityofalbionmi.gov,City,Non-Federal Agency,true,,false,false,false,
cityofalcoa-tn.gov,City,Non-Federal Agency,true,,false,false,false,
cityofalgoodtn.gov,City,Non-Federal Agency,true,,false,false,false,
cityofalmaga.gov,City,Non-Federal Agency,true,,false,false,false,
cityofbakerla.gov,City,Non-Federal Agency,true,cityofbakerla.com,false,false,false,
cityofbeloitwi.gov,City,Non-Federal Agency,false,,false,false,false,
cityofbentonharbormi.gov,City,Non-Federal Agency,false,,false,false,false,
cityofblueridgega.gov,City,Non-Federal Agency,true,,false,false,false,
cityofbowiemd.gov,City,Non-Federal Agency,true,,false,false,false,
cityofbrunswick-ga.gov,City,Non-Federal Agency,true,brunswickga.org,false,false,false,
cityofcanalfulton-oh.gov,City,Non-Federal Agency,true,,false,false,false,
cityofcayce-sc.gov,City,Non-Federal Agency,true,,false,false,false,
cityofchetek-wi.gov,City,Non-Federal Agency,true,,false,false,false,
cityofchoteau-mt.gov,City,Non-Federal Agency,true,,false,false,false,
cityofconway-ar.gov,City,Non-Federal Agency,true,,false,false,false,
cityofcoweta-ok.gov,City,Non-Federal Agency,true,,false,false,false,
cityofcrisfield-md.gov,City,Non-Federal Agency,true,,false,false,false,
cityofcudahyca.gov,City,Non-Federal Agency,false,,false,false,false,
cityofdalton-ga.gov,City,Non-Federal Agency,true,,false,false,false,
cityofdouglasga.gov,City,Non-Federal Agency,false,,false,false,false,
cityofdunbarwv.gov,City,Non-Federal Agency,true,,false,false,false,
cityofdupontwa.gov,City,Non-Federal Agency,false,,false,false,false,
cityofenglewood-nj.gov,City,Non-Federal Agency,false,,false,false,false,
cityofeudoraks.gov,City,Non-Federal Agency,true,,false,false,false,
cityoffairfax-mn.gov,City,Non-Federal Agency,true,,false,false,false,
cityoffarmersville-ca.gov,City,Non-Federal Agency,true,,true,false,false,
cityoffarmington-ar.gov,City,Non-Federal Agency,true,,false,false,false,
cityoffolkston-ga.gov,City,Non-Federal Agency,true,,false,false,false,
cityoffortoglethorpega.gov,City,Non-Federal Agency,false,,false,false,false,
cityofgaffney-sc.gov,City,Non-Federal Agency,true,getintogaffney.com,false,false,false,
cityofgalenapark-tx.gov,City,Non-Federal Agency,true,,false,false,false,
cityofgravette-ar.gov,City,Non-Federal Agency,true,,false,false,false,
cityofgunnison-co.gov,City,Non-Federal Agency,true,,false,false,false,
cityofhampton-ga.gov,City,Non-Federal Agency,true,,false,false,false,
cityofharrison-mi.gov,City,Non-Federal Agency,true,,false,false,false,
cityofhaywardwi.gov,City,Non-Federal Agency,true,,false,false,false,
cityofhiramga.gov,City,Non-Federal Agency,true,,false,false,false,
cityofhokah-mn.gov,City,Non-Federal Agency,true,,false,false,false,
cityofhomer-ak.gov,City,Non-Federal Agency,true,,false,false,false,
cityofhumble-tx.gov,City,Non-Federal Agency,true,,false,false,false,
cityofhumbletx.gov,City,Non-Federal Agency,true,,false,false,false,
cityofkeywest-fl.gov,City,Non-Federal Agency,true,,true,false,false,
